,Place,Size,Price
813,"Ngong, Kajiado North",0.0, 15000000
817,"Thigiri, Westlands",0.0, 120000000
825,"Lavington, Dagoretti North",0.0, 200000000
829,"Kitengela, Kajiado North",0.0, 700000
833,"Kahawa West, Roysambu",0.0, 2500000
835,"Runda, Westlands",0.0, 120000000
838,"Kikuyu Town, Kikuyu",0.0, 4600000
840,"Kibiku, Ngong, Kajiado North",0.0, 4300000
842,"Kikuyu Town, Kikuyu",0.0, 6500000
846,"Mtwapa, Kilifi South",0.0, 60000000
849,"Kahawa West, Roysambu",0.0, 1600000
858,"Runda, Westlands",0.0, 42000000
859,"Pan African Insurance Avenue, Runda, Westlands",0.0, 55000000
860,"Matuu, Yatta, Yatta",0.0, 349000
861,"Nyali road, Nyali road, Mkomani, Nyali",0.0, 180000000
863,"Saunders Close, Kitisuru, Westlands",0.0, 32000000
866,"Kikuyu Town, Kikuyu",0.0, 5000000
867,"Kiambu Road, Kiambu Road",0.0, 32000000
871,"KWA TOM, Ruiru, Ruiru",0.0, 1100000
872,"Kikuyu Town, Kikuyu",0.0, 3500000
873,"Enka gardens Konza, Isinya, Kajiado North",0.0, 650000
874,"Ngong, Kajiado North",0.0, 5500000
879,"Komarock Road, Nairobi South, Starehe",0.0, 784000000
883,"Shanzu, Kisauni",0.0, 400000000
890,"Diani, Msambweni",0.0, 15000000
892,"Kirawa road, New Kitusuru, Westlands",0.0, 25000000
900,"General Mathenge, General Mathenge, Westlands",0.0, 220000000
908,"Kerarapon drive, 1st drive, Ngong, Kajiado North",0.0, 13000000
911,"Thome, Roysambu",0.0, 29000000
913,"Magarini, Magarini",0.0, 100000
914,"Mangu road, Thika, Thika",0.0, 2600000
918,"Ongata Rongai, Kajiado North",0.0, 1200000
919,"Riara Ridge, Tigoni, Limuru",0.0, 12000000
922,"Estern Bypass Land, Ruai, Kasarani",0.0, 50000000
929,"Kamulu, Kamulu, Kangundo",0.0, 850000
935,"Kitengela, Kajiado North",0.0, 8000000
939,"Old Namanga Road, Kitengela, Kajiado North",0.0, 1300000
940,"Sagana, Sagana getaway resort street, Kirinyaga Central, Kirinyaga Central",0.0, 550000
943,"Marurui, Thome, Roysambu",0.0, 30000000
945,"Thigiri, Westlands",0.0, 70000000
953,"Juja, Kiambu Constituency",0.0, 750000
960,"Riara Ridge, Tigoni, Limuru",0.0, 14500000
961,"Kamangu, Kikuyu Town, Kikuyu",0.0, 1000000
962,"One Eighth (1/8), Rangau, Ongata Rongai, Kajiado North",0.0, 1000000
964,"Kentmere, Tigoni, Limuru",0.0, 35000000
968,"Mtondia, Kilifi, Kilifi North",0.0, 1900000
969,"Shanzu, Kisauni",0.0, 15000000
973,"Kirinyaga Central, Kirinyaga Central",0.0, 550000
978,"Bofa Rd, Tezo, Kilifi North",0.0, 1250000
984,"Katani Road, Syokimau, Athi River",0.0, 6500000
985,"01, Makoyeti, Karen, Langata",0.0, 30000000
987,"Tigoni, Limuru",0.0, 35000000
988,"Kikuyu Town, Kikuyu",0.0, 1800000
989,"Ongata Rongai, Kajiado North",0.0, 1200000
993,"Lonetree, Rosslyn, Westlands",0.0, 55000000
1002,"Juja farm, Juja, Kiambu Constituency",0.0, 630000
1003,"Kiambu Town, Kiambu Town",0.0, 27000000
1005,"Membley, Ruiru, Ruiru",0.0, 5500000
1007,"Machakos Town, Machakos Town",0.0, 10000000
1013,"Singete, Mlimani, Kitengela, Kajiado North",0.0, 2800000
1015,"Ongata Rongai, Kajiado North",0.0, 4000000
1020,"Lonetree, Rosslyn, Westlands",0.0, 115000000
1021,"vipingo, Kilifi North",0.0, 27000000
1024,"Kitengela, Kajiado North",0.0, 500000
1028,"Kahawa Sukari Avenue, Kahawa Sukari, Roysambu",0.0, 30000000
1037,"Mugutha, Ruiru, Ruiru",0.0, 7500000
1038,"Thindigua, Thindigua",0.0, 70000000
1040,"Magadi Road, Ongata Rongai, Kajiado North",0.0, 32000000
1043,"Kitengela, Kajiado North",0.0, 2500000
1044,"VI, VI-Karaba road, Mwea, Mwea",0.0, 350000
1045,"Ruiru, Ruiru",0.0, 12500000
1046,"Kikuyu Town, Kikuyu",0.0, 1750000
1059,"Eastern Bypass, Ruiru, Ruiru",0.0, 45000000
1061,"Ngong, Kajiado North",0.0, 10000000
1062,"Nyali Area, Nyali",0.0, 24000000
1063,"Mombasa CBD, Mombasa CBD",0.0, 13000000
1065,"1/8 Acre, Ongata Rongai - Acacia, Ongata Rongai, Kajiado North",0.0, 2000000
1067,"Bamboo Estate, Ruiru, Ruiru",0.0, 25000000
1074,"Nanyuki, Laikipia East",0.0, 180000
1077,"Mtwapa, Kilifi South",0.0, 1800000
1082,"Gikambura, Kikuyu",0.0, 3700000
1084,"Ngong, Kajiado North",0.0, 6500000
1085,"Karen, Langata",0.0, 33000000
1086,"Malindi Town, Malindi",0.0, 260000
1091,"DAGORRETTI MUTARAKWA TARMAC, Gikambura, Kikuyu",0.0, 600000
1101,"langata, Langata Area, Langata",0.0, 110000000
1110,"Tatu City, Kiambu Town, Kiambu Town",0.0, 16000000
1111,"Mariakani Kadzondzo, Sokoni, Kilifi North",0.0, 399000
1117,"Ruiru, Ruiru",0.0, 1500000
1122,"NARUMORU, NARUMORU, Nanyuki, Laikipia East",0.0, 300000
1124,"Nakuru Town East, Nakuru Town East",0.0, 349999999
1127,"vipingo, Kilifi North",0.0, 3500000
1134,"Kamiti corner, Kiambu Road, Kiambu Road",0.0, 6500000
1135,"Kerarapon drive, 14 drive, Ngong, Kajiado North",0.0, 18000000
1136,"KAPUTIEI NORTH, the rest of Kajiado North, Kajiado North",0.0, 32000000
1146,"Rhino Park Road, Karen, Langata",0.0, 61000000
1151,"Runda, Westlands",0.0, 25000000
1164,"Matasia, Ngong, Kajiado North",0.0, 2500000
1166,"Ngong, Kajiado North",0.0, 4500000
1180,"Mtwapa, Kilifi South",0.0, 2500000
1184,"Kikuyu Town, Kikuyu",0.0, 1350000
1198,"Muthaiga Area, Muthaiga",0.0, 230000000
1199,"kenani, Athi River Area, Athi River",0.0, 2800000
1205,"Kitisuru, Kitisuru, Westlands",0.0, 250000000
1208,"Gikambura, Kikuyu",0.0, 3950000
1209,"Nyali Area, Nyali",0.0, 1850000
1212,"Mtwapa, Kilifi South",0.0, 2500000
1214,"Kikuyu Town, Kikuyu",0.0, 4500000
1218,"Argwings Kodhek Road, Kilimani, Dagoretti North",0.0, 320000000
1219,"Matuu, the rest of Machakos, the rest of Machakos",0.0, 349000
1221,"2359, Karen, Karen, Langata",0.0, 320000000
1223,"Gikambura, Kikuyu",0.0, 1950000
1224,"Shanzu, Kisauni",0.0, 100000000
1232,"Mokoyeti, Mokoyeti, Karen, Langata",0.0, 29000000
1236,"Lusigetti, Gikambura, Kikuyu",0.0, 2500000
1237,"00200, Kikuyu, Gikambura, Kikuyu",0.0, 670000
1243,"Kamakis, Kiratina, Ruiru, Ruiru",0.0, 1450000
1244,"Juja, Kiambu Constituency",0.0, 650000
1246,"Ngong, Kajiado North",0.0, 3800000
1247,"Thika, Thika",0.0, 4300000
1248,"Ruiru, Ruiru",0.0, 3700000
1249,"Dennis Pritt, Kilimani, Dagoretti North",0.0, 170000000
1250,"Jamhuri, Jamhuri, Ngong",0.0, 32000000
1254,"Convent Drive , Lavington, Dagoretti North",0.0, 175000000
1269,"Lavington Green, Lavington, Dagoretti North",0.0, 80000000
1270,"Kunde Road, Lavington, Dagoretti North",0.0, 125000000
1271,"Limuru road, Ruaka, Kiambaa",0.0, 200000000
1273,"Southern Bypass, Waithaka, Dagoretti South",0.0, 150000000
1277,"Muthaiga North Road, Nairobi, Muthaiga Area, Muthaiga",0.0, 50000000
1287,"Olkeri, Olkeri, Ngong, Kajiado North",0.0, 4200000
1288,"Dagoretti Road, Ndeiya, Limuru",0.0, 20000000
1289,"Lavington, Lavington, Dagoretti North",0.0, 120000000
1290,"Ngong road, Ngong Road, Riruta, Dagoretti South",0.0, 14000000
1291,"Karen, Langata",0.0, 80000000
1292,"Ngong, Kajiado North",0.0, 3500000
1293,"Kiambu Road, Kiambu Road",0.0, 5200000
1294,"ngong road, Riruta, Dagoretti South",0.0, 30000000
1295,"Karen, Karen, Karen, Langata",0.0, 80000000
1297,"South B, Langata",0.0, 57000000
1298,"Runda, Westlands",0.0, 44000000
1299,"Lower Kabete, Westlands",0.0, 500000000
1308,"ondiri, makarecha, Gikambura, Kikuyu",0.0, 2200000
1315,"Katani Road, Syokimau, Athi River",0.0, 6500000
1316,"Behind Posta, Mtwapa, Kilifi South",0.0, 7000000
1317,"Kiserian Bypass, Isinya, Kajiado North",0.0, 9000000
1318,"Posta, Mtwapa, Kilifi South",0.0, 7000000
1320,"Old Muthaiga, Muthaiga",0.0, 170000000
1321,"Thika, Thika",0.0, 9000000
1335,"South Lake Road, the rest of Naivasha, Naivasha",0.0, 85000000
1337,"9423, Kitengela, Kajiado North",0.0, 1200000
1339,"Ruiru, Ruiru",0.0, 6000000
1342,"the rest of Naivasha, Naivasha",0.0, 350000
1343,"Nyali Area, Nyali",0.0, 26000000
1345,"Juja farm - Athi rd, Juja, Kiambu Constituency",0.0, 650000
1347,"KANGUNDO ROAD, Kangundo road, Koma Rock, Kangundo",0.0, 450000
1348,"Thika Road, Thika Road",0.0, 200000
1349,"Nanyuki, Laikipia East",0.0, 100000
