,Place,Size,Price
161,"Karen, Langata",Land Area 2024 m², 32000000
162,"Kikambala, Mtwapa, Kilifi South",Land Area 20 ac, 300000000
163,"Muthaiga North, North Muthaiga, Muthaiga",Land Area 2023 m², 52000000
164,"Ruiru, Ruiru, Ruiru",Land Area 10118 m², 125000000
165,"Kiambu Road, Kiambu Road",Land Area 2023 m², 95000000
166,"Namanga Road, Kitengela, Kajiado North",Land Area 80940 m², 360000000
167,"Mayungu road, Malindi Town, Malindi",Land Area 1012 m², 2200000
168,"Ngong, Kajiado North",Land Area 2023 m², 32000000
169,"Lavington, Dagoretti North",, 180000000
170,"Kiukenda, Kamiti, Kiambaa",, 14000000
171,"Nanyuki, Laikipia East",Land Area 500 m², 950000
172,"Kilimani, Dagoretti North",Land Area 0 ac, 400000000
173,"Githambara, Thika Road, Thika Road",, 900000000
174,"Kikuyu Town, Kikuyu",Land Area 4047 m², 60000000
175,"Eastleigh, Kamukunji Constituency",Land Area 28328 m², 900000000
176,"shanzu, serena, Mombasa CBD, Mombasa CBD",Land Area 4046 m², 38000000
177,"Machakos Town, Machakos Town",Land Area 5 ac,P.O.A
178,"Kikuyu Town, Kikuyu",Land Area 0 ha, 3500000
179,"Ruaka, Kiambaa",, 19000000
180,"Muchatha, Ruaka, Kiambaa",Land Area 1012 m², 15000000
181,"Lavington, Valley Arcade, Lavington, Dagoretti North",Land Area 0 ac, 145000000
182,"Juja, Kiambu Constituency",Land Area 202350 m², 3750000
183,"Kilimani, Dagoretti North",Land Area 2428 m², 250000000
184,"Ngong Road, Ngong Road",Land Area 1 ac, 600000000
185,"Kangundo Rd, Joska, Kangundo",Land Area 450 m², 1800000
186,"Upperhill Road, Upper Hill, Langata",Land Area 0 ac, 230000000
187,"Joska, Kangundo",, 800000
188,"Old Muthaiga, Muthaiga",Land Area 0 ac, 105000000
189,"Thindigua Highway Street, Kiambu Road, Kiambu Road",Land Area 4500 m², 42000000
190,"Musa Gitau, Gikambura, Kikuyu",Land Area 1250 m², 6500000
191,"Tezo, Kilifi North",Building Area 0 ha, 380000
192,"Athi River Area, Athi River",Land Area 34683 m², 20000000
193,"juja road, Juja, Kiambu Constituency",, 11000000
194,"Kikuyu Town, Kikuyu",Land Area 500 m², 1900000
195,"Kikuyu Town, Kikuyu",Land Area 500 m², 7800000
196,"Joska, Kangundo",None 464 m², 450000
197,"Ridgeways, Ridgeways",Land Area 0 ac, 35000000
198,"Kikuyu Town, Kikuyu",Land Area 500 m², 2500000
199,"Kikuyu Town, Kikuyu",Land Area 500 m², 5000000
200,"Mombasa Road, Syokimau, Athi River",, 75000000
201,"Kikuyu Town, Kikuyu",Building Area 500 ft², 1650000
202,"Mugutha, Ruiru, Ruiru",Land Area 506 m², 6000000
203,"Othaya Road, Kileleshwa, Dagoretti North",Land Area 0 ac, 380000000
204,"JUJA FARM, JUJA FARM, Juja, Kiambu Constituency",Building Area 5000 m², 399000
205,"Konza Gates, konza Gates, Machakos Town, Machakos Town",Land Area 5000 m², 600000
206,"Kitengela, Kajiado North",Land Area 0 ac, 12000000
207,"Thika Road, Thika Road, Thika Road",, 7000000
208,"Argwings Kodhek, Argwings Kodhek Road, Kilimani, Dagoretti North",Land Area 4 ac, 1600000000
209,"Thika, Thika",, 6000000
210,"Kare. Fairacres, Karen, Langata",, 56000000
211,"Thogoto-Mutarakwa Road, Lusengetti, Gikambura, Kikuyu",Land Area 500 m², 2350000
212,"Kikuyu Town, Kikuyu",Land Area 0 ha, 4700000
213,"Kitengela, Oltoroto, Kitengela, Kajiado North",Land Area 40000 m², 25000000
214,"Naromoru, Nanyuki, Laikipia East",Land Area 21 ac, 35700000
215,"Juja, Kiambu Constituency",Land Area 22 ac, 660000000
216,"Oloitokitok, the rest of Kajiado South, Kajiado South",Land Area 40470 m², 20000000
217,"the rest of Kisauni, the rest of Kisauni",Land Area 1300 m², 3000000
218,"Kilimani, Dagoretti North",Land Area 5261 m², 349999999
219,"Mushroom, Kiambu Road, Kiambu Road",Land Area 2024 m², 27000000
220,"Ngong Road, Kilimani, Dagoretti North",Land Area 17402 m², 1600000000
221,"Kikuyu Town, Kikuyu",Land Area 4000 m², 55000000
222,"Windsor, Kiambu Constituency",Land Area 40000 m², 15000000
223,"Beach, 2nd Row, Kikambala, Kilifi South",Land Area 0 ac, 2500000
224,"Ngong Road, Kilimani, Dagoretti North",Land Area 4695 m², 404000000
225,"Thika, Thika",Land Area 0 ha, 850000
226,"Utawala, Embakasi",Land Area 100 m², 12000000
227,"Donyo Sabuk Avenue, General Mathenge, Westlands",Land Area 1821 m², 145000000
228,"Katani Road, St Timothy Link Road, Syokimau, Athi River",Land Area 900 m², 8500000
229,"Ruiru, Ruiru",, 750000
230,"Tuala, Ongata Rongai, Kajiado North",Land Area 5000 m², 1200000
231,"Karen, Langata",Land Area 1 ac, 65000000
232,"Isinya, Kajiado North",Land Area 10 ac, 80000000
233,"Kirichwa, Kilimani, Dagoretti North",Land Area 4047 m², 450000000
234,"Amboseli, Kimana, the rest of Kajiado South, Kajiado South",Land Area 4047 m², 2000000
235,"Mnarani, Kilifi North",Land Area 4856 m², 27000000
236,"Limuru Girls, Tigoni, Limuru",Land Area 20235 m², 104000000
237,"Kitengela, Kajiado North",, 6500000
238,"Ruiru, Ruiru",Land Area 250 m², 750000
239,"Nakuru Town East, Nakuru Town East",Land Area 8903 m², 300000000
240,"Ruiru, Ruiru",Land Area 10117 m², 35000000
241,"Thika Superhighway, Juja, Kiambu Constituency",, 6000000
242,"Nakuru Ngata, Nakuru Ngata, Ngata, Rongai",Land Area 50100 m², 1600000
243,"VI, Karaba road, Kirinyaga Central, Kirinyaga Central",, 350000
244,"Baba Dogo, Ruaraka, Ruaraka",, 900000000
245,"Langata Area, Langata",Land Area 2023 m², 90000000
246,"Juja farm, Mumba Area, Juja, Kiambu Constituency",, 750000
247,"Koitobos Road, Karen, Langata",Land Area 2025 m², 35000000
248,"Ruiru, Ruiru",Land Area 250 m², 1000000
249,"Banana-Raini Road, Tigoni, Limuru",Land Area 0 ac, 9500000
250,"Kisumu West, Kisumu West",Land Area 1012 m², 3000000
251,"Moyne Drive, Nyali Area, Nyali",Land Area 1 ac, 110000000
252,"the rest of Naivasha, Naivasha",Land Area 20235 m², 4600000
253,"Off Langata Road, Karen, Langata",Land Area 5018 m², 45000000
254,"Ongata Rongai, Kajiado North",Land Area 0 ha, 1600000
255,"Landless Area, , Thika, Thika",Land Area 800 m², 2500000
256,"Kamakis corner area, Canaan, Ruiru, Ruiru",Building Area 3200 ft², 1100000
257,"Uthiru/Ruthimitu, Dagoretti South",Land Area 4047 m², 45000000
258,"Ongata rongai, Rimpa, Ongata Rongai, Kajiado North",Land Area 150 m², 3000000
259,"Kiambu Road, Kiambu Road",Land Area 50000 m², 350000000
260,"Juja, Kiambu Constituency",Land Area 465 m², 15000000
261,"Kyuna Rise, Kyuna, Westlands",Land Area 0 ac,P.O.A
262,"madaraka, langata, madaraka, langata, Madaraka, Langata",Land Area 0 ha, 110000000
263,"Kikuyu Town, Kikuyu",Land Area 0 ha, 3400000
264,"Crescent road, Parklands, Westlands",Land Area 0 ac, 250000000
265,"Mwiki, Kasarani",Land Area 142 m², 7500000
266,"Pipeline Rd, Pipeline, Embakasi",Land Area 8094 m², 4950000
267,"Kanamai, Kilifi, Kilifi North",Land Area 1 ac, 17000000
268,"Diani Beach Road, Diani, Msambweni",Land Area 263055 m², 3250000000
269,"332, Thika, Juja, Kiambu Constituency",Building Area 5000 ft², 550000
270,"Kamulu, Kangundo",Land Area 465 m², 900000
271,"Coffee Garden Drive, Muthaiga Area, Muthaiga",Land Area 2024 m², 50000000
272,"Embakasi Estate, Embakasi",Land Area 6475 m², 80000000
273,"Oloolua drive, Ngong, Kajiado North",Land Area 0 ha, 6500000
274,"Mastermind Tobacco, Syokimau, Athi River",Land Area 20235 m², 225000000
275,"Kikuyu Town, Kikuyu",Land Area 1000 m², 5000000
276,"4km from Isinya town., Isinya, Kajiado North",Land Area 4045 m², 600000
277,"Gikambura, Kikuyu",Land Area 1000 m², 6500000
278,"Ruiru, Ruiru, Ruiru",Land Area 1768539 m², 3700000000
279,"Waiyaki way, 87, Uthiru/Ruthimitu, Dagoretti South",Land Area 1 ac, 42000000
280,"Riat hills, west of Kisumu County, Riat Hills, Kisumu Central",Land Area 500 m², 800000
281,"Kikuyu Town, Kikuyu",Land Area 0 ha, 1650000
282,"Gikambura, Kikuyu",Land Area 500 m², 2600000
283,"Kinoo, Kabete",Land Area 0 ha, 9000000
284,"Muteero Close, Karen, Langata",Land Area 2005 m², 27000000
285,"Membley, Ruiru, Ruiru",Land Area 506 m², 8000000
286,"Karisheni road, Nyeri Town, Nyeri Town",Land Area 80 ac, 2000000
287,"Kikuyu Town, Kikuyu",Land Area 0 ha, 5500000
288,"Kilimani, Dagoretti North",Land Area 1133 m², 85000000
289,"Kiambu Road, Kiambu Road",Land Area 20235 m², 1
290,"001, Namanga Road, Isinya, Kajiado North",, 850000
291,"Kikambala, Kilifi South",, 17000000
292,"Nyari, Westlands",Land Area 2024 m², 47000000
293,"Kitengela, Kajiado North",Land Area 1012 m², 4800000
294,"Nanyuki, Laikipia East",, 170000
295,"Golini, the rest of Kwale, the rest of Kwale",Land Area 1 ac, 3000000
296,"Makutano, Mwea, Mwea",Land Area 4047 m², 250000
297,"Joska, Kangundo",, 850000
298,"Nanyuki, Laikipia East",Land Area 133 ac, 133000000
299,"Nyari, Westlands",Land Area 9 ac, 900000000
300,"Kitengela, Kajiado North",Land Area 506 m², 950000
301,"Namanga rd, Kitengela, Kajiado North",, 2000000
302,"Jumba ruins, 3rd row from beach, Mtwapa, Kilifi South",Land Area 0 ac, 1500000
303,"Westlands, Westlands Area, Westlands",, 165000000
304,"Kikuyu Town, Kikuyu",Land Area 500 m², 6000000
305,"Kikuyu Town, Kikuyu",Land Area 0 ha, 2400000
306,"Kilifi, Kilifi North","10
10", 250000000
307,"Funzi Island , the rest of Kwale, the rest of Kwale",Land Area 56658 m², 2000000
308,"Ongata Rongai, Kajiado North",Land Area 0 ha, 5500000
309,"jemi, Homes, Kitengela, Kajiado North",Land Area 450 m², 1300000
310,"Lower Kabete, Westlands",, 60000000
311,"Kikuyu Town, Kikuyu",Land Area 0 ha, 4200000
312,"Namanga Road, Namanga, Kajiado South",Land Area 153 ac, 229500000
313,"Kikuyu Town, Kikuyu",Land Area 0 ha, 1950000
314,"Ngong, Kajiado North",Land Area 500 m², 2000000
315,"Mombasa, Road, Mombasa Road, Mombasa Road",Land Area 5000 m², 175000000
316,"Karen, Langata",Land Area 17888 m², 309400000
317,"Musa Gitau, Gikambura, Kikuyu",Land Area 600 m², 3500000
318,"Malindi Town, Malindi",Land Area 4047 m², 3500000
319,"Malindi Town, Malindi",Land Area 506 m², 500000
320,"Ololua Road, Karen, Langata",Land Area 4047 m², 42000000
321,"Off Eastern Bypass, Ruiru, Ruiru",, 7500000
322,"Ruiru, Ruiru",,P.O.A
323,"Jogoo Road, Jogoo Road",Land Area 1 m², 98000000
324,"332, Thika, Juja, Kiambu Constituency",Building Area 1800 ft², 2200000
325,"Kaloleni, Kaloleni",Land Area 500 ft², 380000
326,"Lavington, Dagoretti North",Land Area 3238 m², 150000000
327,"Lavington, Dagoretti North",Land Area 3035 m², 225000000
328,"Ongata Rongai, Kajiado North",Land Area 5000 m², 1200000
329,"Mugutha Estate, Ruiru, Ruiru",, 1990000
330,"Riat Hills, Kisumu Central",Land Area 400 m², 9000000
331,"Imara Daima, Embakasi",, 10200000
332,"Diani, Diani, Msambweni",Building Area 8800 ft², 15000000
333,"Malewa Bay Estate, Moi North Lake Road, Naivasha East, Naivasha",Land Area 1 ac, 10000000
334,"4.2 Acres - Athi River, Off Mombasa Rd, Athi River Area, Athi River",, 22000000
335,"Thika, Thika",, 55000000
336,"Kikuyu Town, Kikuyu",Land Area 500 m², 2400000
337,"Parklands, Westlands",Land Area 1012 m², 90000000
338,"Marula Lane, Karen, Langata",Land Area 0 ac, 32500000
339,"Karen, Langata",Land Area 1 ac, 43500000
340,"lukenya, Athi River",Land Area 182 ac,P.O.A
341,"Off Namanga Road, Kitengela, Kajiado North",Land Area 0 ac, 2400000
342,"Ongata Rongai, Kajiado North",Land Area 500 m², 4000000
343,"Off Kaptagat Road, Loresho, Westlands",Land Area 2023 m², 37500000
344,"Kutch Road, Mlolongo, Athi River",Land Area 20235 m², 300000000
345,"Bomani, Bomani, Mtwapa, Kilifi South",Land Area 5000 ft², 1100000
346,"Rhino Park, Karen, Langata",, 60000000
347,"Diani, Msambweni",, 150000000
348,"Kilimani, Dagoretti North",Land Area 4000 m², 350000000
349,"Kikuyu Town, Kikuyu",Land Area 1000 m², 4500000
350,"Enka Villa, Kitengela, Kajiado North",Land Area 0 ac, 300000
351,"Nanyuki, Laikipia East",Land Area 465 m², 350000
352,"N/A, Ruiru, Ruiru",Land Area 4080 ft², 450000
353,"Juja, Kiambu Constituency",, 1500000
354,"Parklands, Westlands",Land Area 1619 m², 145000000
355,"Nyali, Nyali Area, Nyali",Land Area 10890 ft², 26000000
356,"Makueni, makueni",Land Area 29744 m², 367000000
357,"Nanyuki, Laikipia East",Land Area 450 m², 350000
358,"Riu-Nderi, Gikambura, Kikuyu",Land Area 500 m², 1950000
359,"Ongata Rongai, Kajiado North",Land Area 0 ha, 11000000
360,"Juja, Kiambu Constituency",Land Area 506 m², 2200000
361,"Nyali Area, Nyali",, 76000000
362,"Kamakis Eastern Bypass, Ruiru, Ruiru",Land Area 16188 m², 120000000
363,"Mushroom Garden Road, Kiambu Road, Kiambu Road",, 26000000
364,"Mavoko, Mavoko",Land Area 20235 m², 60000000
365,"Kikuyu Town, Kikuyu",Land Area 500 m², 4500000
366,"Ngong, Kajiado North",Land Area 10000000 m², 6000000
367,"Kahawa, Roysambu",Land Area 506 m², 6000000
368,"Ruiru, Murera, Ruiru, Ruiru",Land Area 30 m², 900000
369,"Vipingo Drive, vipingo, Kilifi North",Land Area 4047 m², 15000000
370,"Kitisuru, Westlands",Land Area 2023 m², 45000000
371,"Kikuyu Town, Kikuyu",Land Area 500 m², 2300000
372,"Karen, Langata",Land Area 2023 m², 35000000
373,"Mtwapa, Kilifi South",, 1500000
374,"Juja, Kiambu Constituency",, 750000
375,"Joska, Kangundo",Land Area 450 m², 995000
376,"Kitengela, Kajiado North",Land Area 30 ac, 420000000
377,"Kericho, kericho",Land Area 2024 m², 45000000
378,"Juja, Kiambu Constituency",Land Area 506 m², 15000000
379,"Joska, Kangundo Area, Kangundo",Land Area 448 m², 1050000
380,"wangapala, Parklands, Westlands",, 25000000
381,"Kahawa Sukari Estate, Kahawa Sukari, Roysambu",Land Area 1012 m², 6800000
382,"Runda, Westlands",Land Area 0 ac, 40000000
383,"Juja, Farm, Juja, Kiambu Constituency",Land Area 330 m², 600000
384,"Mai Mahiu, Naivasha",Land Area 4047 m², 550000
385,"Kitengela, Kajiado North",Land Area 1821 m², 1400000
386,"Ngong, Kajiado North",Land Area 1000 m², 9000000
387,"Diani Beach Road, Diani, Msambweni",Land Area 920 m²,P.O.A
388,"nachu, Ndeiya, Limuru",Land Area 5 ac, 3200000
389,"Rimpa Road, Ongata Rongai, Kajiado North",Land Area 506 m², 2800000
390,"Naivasha Njabini road, Naivasha Town, Naivasha",, 2000000
391,"Longonot, Naivasha",Land Area 5000 ft², 429000
392,"Olive Inn Estate, Kiamunyi, Rongai",Land Area 500 m², 6200000
393,"Madison Lane, Nanyuki, Laikipia East",Land Area 30000 m², 350000
394,"Runda, Westlands",Land Area 0 ac, 35000000
395,"Kanjata Road, Lavington, Dagoretti North",, 155000000
396,"vipingo, Kilifi North",Land Area 4047 m², 6500000
397,"Rungiri- Gitaru, Kikuyu Town, Kikuyu",Land Area 0 ha, 5000000
398,"Ongata Rongai, Kajiado North",Land Area 0 ha, 1300000
399,"Ruiru Kamiti Road, Ruiru, Ruiru",Land Area 97128 m², 45000000
400,"Rironi, Limuru",Land Area 1000 m², 13500000
401,"Kaloleni mavueni, Kaloleni, Kaloleni",Building Area 500 ft², 250000
402,"Mtwapa, Kilifi South",, 8000000
403,"Syokimau, Athi River",Land Area 15 ac, 600000000
404,"Isinya, Kajiado North",Land Area 1942 m², 336000000
405,"Othaya Road, Kaputei Gardens, Lavington, Dagoretti North",Land Area 0 ac, 150000000
406,"Katani, Katani, Athi River",Land Area 0 ac, 5000000
407,"Nanyuki, Laikipia East",Land Area 450 m², 350000
408,"Karen, Langata",Land Area 1 ac, 60000000
409,"Mlolongo, Athi River",Land Area 430 m², 1300000
410,"Kitengela, Kajiado North",, 5000000
411,"Garden Estate, Roysambu",Land Area 0 ac, 38000000
412,"Mtwapa, Kilifi South",, 400000000
